timestamp,symbol,close,open,high,low,close_less_than_ma10_5m,ma10_5m_less_than_ma30_5m,ma30_5m_less_than_ma60_5m,change_rate_5m,boll_range_rate_5m,close_ma60_rate_5m,close_ma60_rate_4h,volume_ma20_rate_5m,volume_ma20_rate_4h,rsi_4h,close_ma30_rate_1d
1672575300000,ETHUSDT,1197.25,1197.21,1197.64,1197.21,0,0,0,0.00003,0.00175,0.00146,-0.00949,1.53834,0.34935,46.33,-0.03156
1672575600000,ETHUSDT,1197.25,1197.26,1197.38,1197.25,0,0,0,0,0.00178,0.00138,-0.00949,0.71007,0.34935,46.33,-0.03156
1672575900000,ETHUSDT,1197.88,1197.26,1198.5,1196.73,0,0,0,0.00052,0.00197,0.00182,-0.00949,3.24489,0.34935,46.33,-0.03156
1672576200000,ETHUSDT,1197.14,1197.88,1198.36,1197,0,0,0,-0.00062,0.00193,0.0012,-0.00949,1.80985,0.34935,46.33,-0.03156
1672576500000,ETHUSDT,1197.03,1197.14,1197.19,1197.03,0,0,0,-0.0001,0.00189,0.00111,-0.00949,0.52112,0.34935,46.33,-0.03156
1672576800000,ETHUSDT,1197.02,1197.03,1197.04,1196.95,0,0,0,-0.00001,0.00187,0.00102,-0.00949,0.438,0.34935,46.33,-0.03156
1672577100000,ETHUSDT,1197.11,1197.03,1197.58,1197.02,0,0,0,0.00007,0.00191,0.00109,-0.00949,1.08909,0.34935,46.33,-0.03156
1672577400000,ETHUSDT,1197.16,1197.12,1197.17,1197.03,0,0,0,0.00004,0.00191,0.00113,-0.00949,0.48035,0.34935,46.33,-0.03156
1672577700000,ETHUSDT,1197.17,1197.15,1197.17,1197.03,1,0,0,0,0.00194,0.00106,-0.00949,0.66485,0.34935,46.33,-0.03156
1672578000000,ETHUSDT,1197.1,1197.16,1197.29,1196.86,1,0,0,-0.00006,0.00193,0.001,-0.00949,1.49633,0.34935,46.33,-0.03156
1672578300000,ETHUSDT,1196.85,1197.09,1197.28,1196.84,1,0,0,-0.00021,0.00193,0.00079,-0.00949,0.72443,0.34935,46.33,-0.03156
1672578600000,ETHUSDT,1196.37,1196.84,1196.85,1196.21,1,0,0,-0.00041,0.0019,0.0003,-0.00949,0.78475,0.34935,46.33,-0.03156
1672578900000,ETHUSDT,1196.14,1196.38,1196.38,1196.01,1,0,0,-0.0002,0.00191,0.00011,-0.00949,0.9795,0.34935,46.33,-0.03156
